source_id;urn_cts;is_primary_text;has_pdf;anchor_external;pdf_path;digital_source;author;language;has_translation;pages;title;publisher;publication_place;source_book;notes;source_type;year;doi;discipline;txt_path
Samet2023_Instructio;;No;True;;;;Samet N.;;No;216-237;Instruction Of Shuruppak: The World's Oldest Instruction Collection;;;HUMAN INTERACTION WITH THE NATURAL WORLD IN WISDOM LITERATURE AND BEYOND;;Article in Book;2023;;;
Soldt0000_Babylonian;;No;True;;;;Soldt W.V.;;No;171-192;Babylonian Lexical, Religious And Literary Texts And Scribal Education At Ugarit And Its Implications For The Alphabetic Literary Text;;;;;Article in Book;;;;
Ston2001_SurveyAndS;;No;True;;;;Ston E.;;No;355-377;Survey And Soundings In The Outer Town Of A Y Ayanis 1996 1998;;;AYANIS I: Ten Years' Excavations at Rusahinili Eiduru-kai;;Article in Book;2001;;;
Tanret2004_TheWorksAn;;No;True;;;;Tanret M.;;No;pp. 33-62;The Works And The Days... On Scribal Activity In Old Babylonian Sippar Amnānum;Presses Universitaires de France;;Revue d'Assyriologie et d'archéologie orientale, 2004, Vol. 98;;Article in Book;2004;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Tanret2004_TheWorksAn.txt
Tanret2012_LearnedRic;;No;True;;;www.researchgate.net/publication/297235478 DOI: 10.1093/oxfordhb/9780199557301.013.0013;Tanret M.;;No;270-281;Learned, Rich, Famous, And Unhappy: Ur Utu Of Sippar;;;OUP UNCORRECTED PROOF – FIRST-PROOF, 02/17/11, SPi;;Article in Book;2012;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Tanret2012_LearnedRic.txt
Tinney1998_ScribalEdu;;No;True;;;;Tinney S.;;No;40-50;Scribal Education In Nippur And Ur;;;ExpreEpDITION Volume 40, No. 2 (1998);;Article in Book;1998;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Tinney1998_ScribalEdu.txt
Tsouparopoulou0000_HiddenMess;;No;True;;;;Tsouparopoulou C.;;No;17-31;Hidden Messages Under The Temple: Foundation Deposits And The Restricted Presence Of Writing In 3rd Millennium Bce Mesopotamia*;;;;;Article in Book;;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Tsouparopoulou0000_HiddenMess.txt
Haines0000_TheNippurE;;No;True;;;oi.uchicago.edu;;;No;12-14;The Nippur Expedition;;;;;Archaeological Report;Unknown;;;
Unknown0000_UrUtusStor;;No;True;;;;Unknown;;No;;Ur Utu's Story:the Mesopotamian Family And Laws;;;;;Article in Book;Unknown;;;
Gibson2006_NippurAndU;;No;True;;;oi.uchicago.edu;;;No;86-88;Nippur And Umm Al Hafriyat;;;;;Archaeological Report;2006;;;
Ur2017_TheTopogra;;No;True;;;;Ur J.;;No;68-73;The Topography Of Nineveh;Papers on Archaeology of the Leiden Museum of Antiquities 13, Leiden (Sidestone Press). SIDESTONE PRESS;;NINEVEH THE GREAT CITY Symbol of Beauty and Power;;Article in Book;2017;;;
Vanstiphout1978_LipitEstar;;No;True;;;;Vanstiphout H.;;No;33-61;Lipit Eštar's Praise In The Edubba;The University of Chicago Press on behalf of The American Schools of;;Journal of Cuneiform Studies;;Article in Book;1978;;;
